[[[0.55211294f32, 0.92269695f32, 0.9263346f32, 0.76031244f32, 4.4560432e-2f32, 0.15218955f32, 0.8324485f32, 0.4641732f32, 0.42986304f32, 0.23069465f32, 0.64630336f32, 0.39444554f32, 0.4127522f32, 0.9278825f32, 0.29872316f32, 0.8212209f32, 4.471904e-2f32, 0.87854564f32, 0.16331613f32, 0.5252652f32, 9.7780704e-2f32, 0.80848676f32, 0.22444439f32, 0.9110458f32, 0.25036442f32, 0.7006035f32, 0.53238165f32, 0.7711636f32, 0.67057896f32, 0.16556478f32, 0.6467155f32, 0.60063607f32],
[4.897289f32, 5.577806f32, 4.788179f32, 4.3465533f32, 0.12381951f32, 0.3753165f32, 1.5682478f32, 4.0417123f32, 0.37090445f32, 3.0147557f32, 8.933539f32, 3.142726f32, 5.3325624f32, 9.03902f32, 5.11749f32, 0.7500087f32, 9.120457f32, 1.7087532f32, 1.0265046f32, 4.7024226f32, 7.573707f32, 1.143163f32, 4.6825485f32, 0.97405845f32, 0.51615644f32, 1.6889393f32, 7.5111804f32, 3.76485f32, 6.1288004f32, 8.522504f32, 2.475412f32, 9.086545f32],
[0.322125f32, 0.86613524f32, 0.920671f32, 1.0132047f32, 6.5568833f32, 8.006342f32, 2.7420137f32, 6.987267e-2f32, 8.903106f32, 4.985189f32, 6.587794f32, 2.5576503f32, 4.381474f32, 0.8205458f32, 3.7686844f32, 8.449049f32, 4.6860633f32, 5.84548f32, 3.7011986f32, 6.2851152f32, 4.9066954f32, 4.146968f32, 0.9042979f32, 3.3884907f32, 6.897831f32, 8.353888f32, 8.753659f32, 0.18345359f32, 4.0978136f32, 4.1798673f32, 0.8226636f32, 6.9898396f32],
[8.540445f32, 0.4690906f32, 2.7163887f32, 7.916304f32, 1.6866362f32, 7.7602835f32, 5.0222487f32, 5.2228117f32, 1.6646094f32, 4.0851445f32, 2.0221267f32, 8.193364f32, 9.665216f32, 9.325641f32, 7.1463f32, 7.2600126f32, 5.729445f32, 1.0427946f32, 7.0254297f32, 6.3538604f32, 3.3101232f32, 9.284629f32, 6.493399f32, 5.8178654f32, 2.2314312f32, 0.45132548f32, 1.6665821f32, 3.0962956f32, 8.9555645f32, 4.5239224f32, 0.79686505f32, 5.5477357f32],
[7.061497f32, 4.543996f32, 1.9427896f32, 2.7862077f32, 5.3938885f32, 4.5400743f32, 0.25136364f32, 8.54389f32, 2.9036644f32, 3.662827f32, 7.313045f32, 3.2751257f32, 5.872232f32, 7.790972f32, 6.6343346f32, 5.727162f32, 3.6075473f32, 6.1291113f32, 8.984329f32, 6.2528386f32, 4.0756073f32, 0.5235644f32, 2.8252578f32, 6.3435965f32, 6.570958f32, 2.064012f32, 3.853092f32, 7.723344f32, 8.562575f32, 1.3157902f32, 0.373859f32, 2.1637573f32],
[7.3380494f32, 8.799376f32, 3.0715773f32, 1.256139f32, 9.254865f32, 6.1511855f32, 1.2416364f32, 7.749364f32, 6.214891f32, 2.600042f32, 4.031229f32, 7.3478494f32, 2.5629044f32, 9.105397f32, 1.0124447f32, 6.4335823f32, 6.83548f32, 8.726776f32, 3.5838847f32, 8.897777f32, 3.5600088f32, 4.09871f32, 9.403014f32, 4.2721295f32, 3.8362138f32, 3.3430328f32, 9.724774f32, 2.960922f32, 2.2027862f32, 5.7086177f32, 9.784829f32, 6.4114676f32],
[4.5649085f32, 6.962097f32, 2.1816423f32, 4.266328f32, 9.286704f32, 7.2232494f32, 9.789396f32, 0.1672522f32, 1.212897f32, 3.8806083f32, 8.438645f32, 5.669703f32, 2.7107995f32, 5.6748624f32, 6.293378f32, 7.9005017f32, 5.223896f32, 6.21619f32, 5.52639f32, 2.1737769f32, 6.7495556f32, 0.5166368f32, 9.509594f32, 4.3825884f32, 3.551996f32, 5.8860755f32, 8.764382f32, 9.564075f32, 0.80199f32, 3.158199e-2f32, 9.6166725f32, 7.3495264f32],
[4.8792634f32, 0.8103055f32, 9.784715f32, 4.3722057f32, 6.9767704f32, 0.7281879f32, 4.87697f32, 7.933655f32, 3.5594487f32, 0.1351592f32, 4.261719f32, 9.306668f32, 6.6677275f32, 8.676702f32, 3.6292198f32, 6.9347515f32, 3.7303581f32, 9.243751f32, 4.264867f32, 3.279404f32, 8.68415f32, 9.618834f32, 1.0180948f32, 2.4578414f32, 8.228416f32, 3.6121504f32, 6.7062397f32, 0.49528217f32, 9.300754f32, 7.8593206f32, 5.6268024f32, 7.3231554f32],
[4.5453925f32, 9.369875f32, 5.012666f32, 7.980471f32, 5.225521f32, 5.9316387f32, 2.201584f32, 9.043015f32, 2.7522979f32, 7.4971566f32, 6.323861f32, 8.180115f32, 5.938161f32, 0.58084464f32, 3.9150257f32, 9.372376f32, 5.2120795f32, 0.42199996f32, 5.907273f32, 2.509783f32, 0.47327492f32, 3.6258252f32, 2.6853766f32, 5.7566156f32, 4.7623243f32, 1.9431938f32, 5.7746944f32, 1.7741908f32, 5.8005495f32, 4.137683f32, 0.9800112f32, 9.8917465f32],
[3.4696772f32, 6.83111f32, 6.8099837f32, 5.116909f32, 3.7710033e-2f32, 3.48239f32, 9.711791f32, 0.3846186f32, 7.915026f32, 1.2913542f32, 7.8468437f32, 7.606087f32, 2.0818582f32, 7.269623f32, 7.1424596e-2f32, 2.3228345f32, 1.541455f32, 1.8414412f32, 4.7735386f32, 4.150303f32, 0.87852293f32, 5.869918f32, 4.414311f32, 5.900392f32, 1.733148f32, 3.8371277f32, 8.37318f32, 8.850358f32, 2.8964612f32, 2.0153377f32, 5.0709767f32, 9.839852f32],
[0.70042616f32, 7.1230726f32, 6.3363733f32, 7.6716924f32, 6.8124137f32, 5.9294434f32, 1.158413f32, 5.7538877f32, 7.210156f32, 9.435028f32, 1.5821934f32, 4.0983977f32, 1.8581824f32, 4.364713f32, 4.785913f32, 7.027357f32, 2.0997984f32, 3.0046604f32, 4.7658777f32, 6.328843f32, 2.6794984f32, 3.5055928f32, 4.61934f32, 8.36692f32, 6.769321f32, 6.0931616f32, 9.582304f32, 6.305465f32, 9.439557f32, 4.1093006f32, 0.7744235f32, 7.2833147f32],
[0.39132318f32, 3.261957f32, 5.975962f32, 8.026436f32, 5.7802696f32, 1.219474f32, 9.857627f32, 1.0536062f32, 2.5982983f32, 5.5832634f32, 7.268261f32, 9.2058325f32, 5.695656f32, 2.719561f32, 3.6234052f32, 3.642436f32, 4.7446194f32, 4.6825347f32, 9.263234f32, 9.465573f32, 8.626077f32, 2.7186499f32, 2.0437763f32, 6.427868f32, 2.4421964f32, 7.4027853f32, 3.505002f32, 4.6151896f32, 8.343495f32, 7.1744657f32, 8.840435f32, 8.942531f32],
[1.3221561f32, 7.6947775f32, 9.8588915f32, 1.1523913f32, 8.173717f32, 0.8602539f32, 4.689779f32, 8.960256f32, 6.828295f32, 5.546009f32, 2.8403468f32, 8.857084f32, 1.7209892f32, 8.217028f32, 5.160951e-2f32, 8.190166f32, 5.4838405f32, 5.3087935f32, 9.311135f32, 8.191208f32, 2.7293918f32, 8.47814f32, 9.405266f32, 3.0696106f32, 4.1928587f32, 3.8919604f32, 7.6740685f32, 5.891056f32, 6.312406f32, 0.26491672f32, 3.0099463f32, 2.4409053f32],
[2.392337f32, 6.8288383f32, 4.849068f32, 2.508856f32, 0.69728744f32, 0.26034594f32, 6.783312f32, 9.638706f32, 9.5294075f32, 5.946709f32, 4.3538632f32, 8.488012f32, 3.0256646f32, 4.34936f32, 7.825291f32, 2.648887f32, 8.045019f32, 3.3550546f32, 0.13705513f32, 2.4064667f32, 1.1452388e-2f32, 2.8153667f32, 6.996988f32, 7.252756f32, 9.585247f32, 0.86952704f32, 9.327768f32, 4.8678226f32, 4.9606943f32, 4.094933f32, 3.8361464f32, 5.9109926f32],
[0.7349007f32, 5.0336533f32, 7.3818536f32, 7.4904876f32, 4.9373193f32, 5.09362f32, 1.2407378f32, 8.709838f32, 7.7460933f32, 7.452805f32, 6.2151785f32, 1.2486798f32, 8.554115f32, 5.927988f32, 4.0103893f32, 7.0779915f32, 2.0783324f32, 7.5315433f32, 1.5861133f32, 6.9463396f32, 1.7667663f32, 6.0018597f32, 1.5350125f32, 8.596924f32, 5.3997393f32, 1.835188f32, 7.21617f32, 1.991182f32, 1.9292094f32, 6.39163f32, 6.4550033f32, 3.3619528f32],
[4.9453034f32, 1.571665f32, 7.957178f32, 0.13907322f32, 4.1462917f32, 2.9814425f32, 2.361707f32, 0.57171834f32, 1.9017113f32, 7.6958175f32, 8.328454f32, 5.188954f32, 0.2878681f32, 7.0260286f32, 4.2621183f32, 6.846673f32, 1.8085887f32, 8.927327f32, 7.096211f32, 4.4939594f32, 2.566692f32, 4.768859f32, 3.9217732f32, 6.9542947f32, 5.784667f32, 6.778092f32, 6.2783484f32, 0.63025546f32, 1.6210423f32, 6.571869f32, 0.58841836f32, 9.231683f32],
[1.9466251f32, 4.93533f32, 7.985462f32, 8.878072f32, 2.1432855f32, 8.614185f32, 4.155317f32, 3.6027167f32, 1.2565361f32, 0.97603166f32, 5.2011147f32, 5.175716f32, 9.0372505f32, 9.805364f32, 2.196088f32, 8.2563505f32, 1.7088789f32, 2.0284688f32, 9.51409f32, 2.9921033f32, 6.113203f32, 6.229031f32, 3.508228f32, 7.4730887f32, 3.9292958f32, 9.516843f32, 0.1565982f32, 2.548233f32, 3.7414725f32, 2.8330376f32, 1.0729752f32, 5.47738f32],
[7.4037933f32, 7.0079813f32, 1.8079703f32, 5.297892f32, 3.9865947f32, 4.8224487f32, 8.314875f32, 0.4192555f32, 5.3373747f32, 2.4051065f32, 1.3295074f32, 3.153328f32, 4.2760797f32, 0.77080035f32, 7.547236f32, 5.6701827f32, 3.6435754f32, 4.094091f32, 6.415321f32, 8.680175f32, 7.2284045f32, 5.2569942f32, 4.5308104f32, 7.7392607f32, 1.5570935f32, 3.4419117f32, 4.3849115f32, 0.77162534f32, 1.5459125f32, 0.79697895f32, 0.69969445f32, 4.988351f32],
[8.963335f32, 2.1612488e-2f32, 0.7258783f32, 3.0729947f32, 8.59787f32, 8.858239f32, 9.854247f32, 5.044482f32, 6.8433437f32, 6.6462207f32, 1.2221979f32, 6.1940928f32, 6.1958814f32, 0.16943964f32, 1.543695f32, 5.816282f32, 2.9336867f32, 2.0161986f32, 4.723486f32, 9.583301f32, 8.511345f32, 5.5660496f32, 9.188014f32, 3.110767f32, 4.7369494f32, 0.27692026f32, 9.527708f32, 2.8828554f32, 0.8414024f32, 4.6566687f32, 5.8856893f32, 5.3491516f32],
[1.4002067f32, 3.9774692f32, 3.9117594f32, 6.813104f32, 8.650734f32, 5.162445f32, 0.98984617f32, 5.1218376f32, 8.822055f32, 6.109116f32, 0.5941764f32, 8.898526f32, 3.0715728f32, 4.1297197f32, 4.6397185f32, 4.684024f32, 7.469884f32, 5.0501847f32, 3.3257139f32, 1.7871927f32, 0.6416341f32, 1.2787924f32, 4.9497976f32, 9.691661f32, 0.64724344f32, 7.4661894f32, 2.2602565f32, 4.0501347f32, 9.277551f32, 9.481756f32, 5.3732266f32, 1.1795707f32],
[7.3697205f32, 1.1768155f32, 6.221092f32, 4.83208f32, 5.014554f32, 8.219084f32, 1.2183965f32, 7.3530564f32, 4.911266f32, 8.270742f32, 9.179505f32, 0.5298565f32, 4.9166837f32, 8.17993f32, 9.012909f32, 2.6601582f32, 8.860203f32, 1.0330611f32, 2.1216104f32, 6.4673753f32, 5.6008887f32, 4.5345697f32, 4.1266646f32, 3.05983f32, 1.0974419f32, 7.582526f32, 3.8134418f32, 3.6535041f32, 6.8012505f32, 1.2155311f32, 5.7978945f32, 1.9569894f32],
[4.5306067f32, 3.0912905f32, 7.8955455f32, 0.54117787f32, 4.063248f32, 7.902582f32, 5.023104f32, 0.12958288f32, 8.943439f32, 6.525667f32, 4.1561522f32, 4.4456344f32, 3.0035677f32, 5.9147124f32, 1.1646373f32, 7.968784f32, 9.438862f32, 4.0849466f32, 6.4130983f32, 4.999672f32, 9.869642f32, 9.447843f32, 2.654324f32, 3.99093f32, 1.4948624f32, 8.600329f32, 9.474891f32, 3.6040573f32, 2.1465209f32, 2.8571851f32, 9.804527f32, 6.7980757f32],
[8.275158f32, 8.152922f32, 6.06488f32, 5.644309f32, 9.880474f32, 1.7190013f32, 9.656652f32, 2.2932286f32, 7.75099f32, 3.0908225f32, 6.808866f32, 8.822973f32, 3.0460372f32, 3.763394f32, 9.267352f32, 2.4366572f32, 5.9478765f32, 5.212339f32, 9.594346f32, 0.13836336f32, 0.60699487f32, 8.084173f32, 0.48324323f32, 8.019841f32, 3.2714748f32, 2.1457543f32, 3.4860604f32, 5.527921f32, 1.8296701f32, 5.4647813f32, 8.24518f32, 5.3466105f32],
[2.9737794f32, 1.8988919f32, 1.1629415f32, 8.662283f32, 5.656185f32, 3.5475194f32, 3.5580933f32, 6.421851f32, 3.4817646f32, 0.56033856f32, 0.7383274f32, 1.023654f32, 8.8268795f32, 6.2506285f32, 3.5018008f32, 1.7864853e-2f32, 8.854548f32, 3.1971476f32, 8.348019f32, 1.7646261f32, 7.4413486f32, 1.8759972f32, 5.684526f32, 4.0873566f32, 3.0807574f32, 7.774341f32, 1.5952773f32, 4.3597465f32, 9.03831f32, 4.8696604f32, 3.7466333f32, 6.04113f32]],
[[3.959095f32, 2.9673524f32, 5.116029f32, 3.6572318f32, 1.5839441f32, 8.261858f32, 8.387622f32, 5.572566f32, 9.804861f32, 4.6225214f32, 1.2762268f32, 6.6530695f32, 9.736697f32, 3.202691f32, 0.97114223f32, 8.277398f32, 5.719249f32, 3.7896783f32, 6.031155f32, 3.7050936f32, 3.8887663f32, 3.872448f32, 1.5057034f32, 2.8030016f32, 1.4326278f32, 1.4044777f32, 8.220039f32, 6.7535696f32, 0.66578865f32, 5.1293693f32, 7.578445f32, 6.0017114f32],
[6.4662304f32, 6.7564087f32, 8.533734f32, 4.7052226f32, 6.3143625f32, 9.352233f32, 4.2510104f32, 2.3004425f32, 3.1392043f32, 1.5030321f32, 4.7006316f32, 0.15555492f32, 9.04729f32, 3.7908504f32, 2.5996957f32, 6.9545193f32, 2.1339278f32, 1.2226068f32, 7.432029f32, 5.505163f32, 2.394661f32, 2.6433609f32, 3.1584291f32, 2.2804935f32, 7.4670916f32, 0.36596954f32, 4.965501f32, 3.1819177f32, 4.0536947f32, 2.340341f32, 4.7105656f32, 7.8206997f32],
[0.42098445f32, 6.2322636f32, 9.266913f32, 8.9937105f32, 6.3799467f32, 5.7132707f32, 7.0737405f32, 2.9882903f32, 0.79359716f32, 7.587379f32, 2.0067f32, 4.2951045f32, 0.15223509f32, 6.2446084f32, 0.95758325f32, 1.5864574f32, 7.480292f32, 7.9180984f32, 5.7215185f32, 5.031292f32, 3.6337512f32, 9.375769f32, 7.4485817f32, 5.500476f32, 0.67262244f32, 2.5759895f32, 4.1914206f32, 0.58169556f32, 3.1180708f32, 2.1053112f32, 4.541579f32, 6.949145f32],
[3.5064435f32, 3.4530928f32, 8.7122555f32, 6.6583533f32, 1.655023f32, 9.5529375f32, 0.70569444f32, 5.2145576f32, 1.5151708f32, 1.3527968f32, 2.5875146f32, 0.21781312f32, 8.980369f32, 9.50799f32, 4.9152126f32, 7.1029496f32, 6.8856354f32, 6.021447f32, 3.9628732f32, 2.6532235f32, 8.878034f32, 6.5872664f32, 3.4886837f32, 6.322688f32, 2.628351f32, 0.5729033f32, 1.0550637f32, 1.4886276f32, 4.2100167f32, 2.0000486f32, 2.531933f32, 8.866114f32],
[6.3949695f32, 0.88881165f32, 2.5552888f32, 1.6335067f32, 7.495367f32, 8.409854f32, 4.368782f32, 9.20438f32, 4.9848456f32, 1.1250142f32, 6.173262f32, 7.354783f32, 1.4565747f32, 4.303042f32, 8.282679f32, 0.80466306f32, 1.0346408f32, 3.9985964f32, 8.587235f32, 4.730967f32, 3.0307052f32, 4.287587f32, 7.845053f32, 1.8715526f32, 6.7445316f32, 5.458149f32, 7.0639944f32, 2.7340684f32, 0.16405275f32, 7.0631084f32, 6.71919f32, 3.6902514f32],
[6.1819787f32, 0.7011897f32, 4.8477383f32, 6.6911664f32, 5.0313654f32, 1.5956898f32, 3.1389375f32, 7.0230017f32, 9.069764f32, 0.6896541f32, 6.6111236f32, 1.4745239f32, 7.3079515f32, 8.114863f32, 5.841012f32, 4.0470767f32, 0.8166465f32, 2.5189376f32, 9.259059f32, 0.73512375f32, 1.5745635f32, 9.404206f32, 7.342494f32, 8.637944f32, 5.4535437f32, 6.871367f32, 8.753155f32, 6.5488176f32, 2.5110252f32, 7.164113f32, 8.961304f32, 6.370304f32],
[1.1098703f32, 1.9219807f32, 4.5920863f32, 9.097315f32, 5.2687306f32, 9.346437f32, 9.797883f32, 6.1778636f32, 4.6008677f32, 7.4258404f32, 8.956373f32, 7.0867705f32, 8.233634f32, 9.190141f32, 7.7339506f32, 5.032915f32, 1.2161772f32, 9.288858f32, 5.1956153f32, 1.0544989f32, 3.6187375f32, 2.7810946f32, 5.7793145f32, 9.282815f32, 5.012687f32, 8.615853f32, 8.673064f32, 6.0183506f32, 8.076592f32, 4.8715725f32, 0.8617326f32, 7.465904f32],
[9.8428f32, 1.2305027f32, 7.2035866f32, 6.2574286f32, 0.15121543f32, 2.0192487f32, 0.86624086f32, 4.514152f32, 8.016066f32, 0.29328924f32, 1.0829742f32, 3.225947f32, 0.32002664f32, 3.6188166f32, 8.467407f32, 2.817222f32, 7.9441466f32, 6.728101e-2f32, 6.782567f32, 1.3711874f32, 8.236984f32, 6.6664476f32, 1.5787331f32, 3.7603672f32, 3.3322704f32, 6.794218f32, 6.985836f32, 0.98722976f32, 7.5148187f32, 9.10881f32, 8.474087f32, 4.889121f32],
[8.395879f32, 6.4578156f32, 1.7470286f32, 4.7875834f32, 3.77985f32, 3.184357f32, 3.315574f32, 9.214984f32, 1.6118085f32, 3.8534672f32, 0.2334805f32, 6.7880244f32, 4.4366665f32, 7.3247747f32, 2.1065722f32, 0.788883f32, 4.9056373f32, 0.4315918f32, 0.13654707f32, 9.725047f32, 6.761094f32, 8.063331f32, 4.498998f32, 1.8995434f32, 0.617414f32, 8.249723f32, 8.674411f32, 6.732711f32, 8.716686f32, 3.1805084f32, 9.074966f32, 8.52598f32],
[2.867125f32, 4.8590646f32, 6.455992f32, 8.862782f32, 6.4025836f32, 1.2091204f32, 8.887329f32, 4.0398602f32, 5.2357645f32, 1.0257299f32, 7.4980044f32, 5.6549625f32, 5.629475f32, 9.826169f32, 8.684838f32, 3.0217416f32, 1.2094319f32, 4.7972775f32, 3.088625f32, 2.2988522f32, 0.45970175f32, 4.2084947f32, 1.0983282f32, 6.310302f32, 2.5804849f32, 9.552124f32, 7.461871f32, 3.069871f32, 4.0608406f32, 7.5407004f32, 6.948463f32, 3.9329708f32],
[9.297633f32, 8.991996f32, 1.5631264f32, 1.022433f32, 1.9480915f32, 1.2694354f32, 4.6647205f32, 3.5763328f32, 7.118947f32, 7.7520847f32, 3.6476877f32, 6.1104264f32, 3.299625f32, 7.0851564f32, 6.4491f32, 4.591351f32, 7.218527f32, 7.2229996f32, 1.1655744f32, 5.425682f32, 8.673769f32, 9.828664f32, 7.8690305f32, 4.044847f32, 7.811389f32, 4.0550537f32, 3.7559402f32, 5.365435f32, 4.0775146f32, 6.9781723f32, 0.9483997f32, 8.741095f32],
[5.623895f32, 3.9400535f32, 4.881691f32, 8.3929615f32, 1.0071228f32, 8.881942f32, 6.447121f32, 6.4700236f32, 4.952269f32, 8.179181f32, 8.4692545f32, 2.8189085f32, 3.6673717f32, 4.7095456f32, 5.1144643f32, 8.180052f32, 1.5188842f32, 5.3159695f32, 1.2538081f32, 2.1905324f32, 1.2299799f32, 6.3874116f32, 1.7233478f32, 4.5757813f32, 9.554832f32, 9.498002f32, 0.3570563f32, 6.565708f32, 2.2223303f32, 0.10100796f32, 6.0574093f32, 1.7529837f32],
[6.183277f32, 0.5216425f32, 2.8853853f32, 4.233707f32, 2.7925229e-2f32, 0.23418151f32, 8.8992815f32, 1.1612502f32, 7.1925807f32, 2.3671374f32, 9.763585f32, 3.6213133f32, 1.9725105f32, 4.8773675f32, 4.331821e-3f32, 8.970709f32, 2.869551f32, 4.2279177f32, 3.452924f32, 9.506361f32, 6.975275f32, 4.1556616f32, 3.4621205f32, 9.805512f32, 8.925793f32, 2.1970057f32, 5.5213046f32, 5.4536023f32, 1.3298302f32, 3.851261f32, 5.585995f32, 4.912736f32],
[8.19184f32, 5.835431f32, 3.9888518f32, 6.565027f32, 5.7551723f32, 3.0175374f32, 0.7577341f32, 7.9809794f32, 0.90962636f32, 0.7547176f32, 2.6004858f32, 1.8504848f32, 4.250693f32, 3.8913324f32, 0.16123332f32, 8.4644985f32, 9.346627f32, 4.7316184f32, 5.20336f32, 7.8600802f32, 3.3894656f32, 5.950793f32, 9.789666f32, 2.6243997f32, 6.5358405f32, 6.24672f32, 7.131816f32, 1.8583436f32, 5.2917695f32, 3.3873901f32, 1.9370179f32, 9.074716f32],
[5.102647f32, 1.3973849f32, 1.7225748f32, 3.496614f32, 7.0439787f32, 8.122895f32, 6.8878584f32, 8.565038f32, 8.176866f32, 4.9401755f32, 2.1358528f32, 5.26385f32, 9.229361f32, 9.067161f32, 8.460993f32, 4.7363386f32, 5.3442574f32, 7.7083225f32, 4.822485f32, 0.6644592f32, 0.8905743f32, 0.40153757f32, 7.229833f32, 1.5398176f32, 1.6665443f32, 4.927706f32, 4.401328f32, 0.61366874f32, 0.60821694f32, 8.780465f32, 0.4005952f32, 5.02918f32],
[8.539521f32, 9.506278f32, 4.7304845f32, 6.6611624f32, 0.17774688f32, 4.3867574f32, 8.698519f32, 8.84064f32, 0.39333183f32, 2.406682f32, 8.11804f32, 1.8434232f32, 9.336541f32, 1.7753916f32, 8.823317f32, 7.1542177f32, 5.2563705f32, 0.72134054f32, 0.66587424f32, 3.3952065f32, 8.56502f32, 8.758462f32, 7.140989f32, 0.6900353f32, 1.5892142f32, 7.5804515f32, 5.36059f32, 5.679347f32, 3.4778693f32, 9.212449f32, 3.8357458f32, 4.1019435f32],
[4.3630204f32, 8.927842f32, 7.5713167f32, 4.7265887f32, 7.112831f32, 5.002821f32, 4.898932f32, 4.9015555f32, 0.41284537f32, 5.3247104f32, 4.9880967f32, 8.770379f32, 4.803845f32, 8.11532f32, 7.628183f32, 5.2811337f32, 0.36749905f32, 1.051401f32, 8.973777f32, 0.40395162f32, 5.422376f32, 3.5800402f32, 8.577955f32, 3.4429717f32, 8.365054f32, 7.500683f32, 5.5313454f32, 7.863549f32, 6.5072217f32, 6.6185412f32, 2.8402112f32, 8.649945f32],
[9.74229f32, 9.191271f32, 8.176971f32, 4.711997f32, 1.1675134f32, 0.21821968f32, 4.6231413f32, 5.000062f32, 2.975292f32, 4.623648f32, 2.5313249f32, 9.456684f32, 5.8119454f32, 3.7163095f32, 3.4525836f32, 8.129984f32, 5.189695f32, 9.628236f32, 5.5130444f32, 1.1265596f32, 0.8232968f32, 6.9791613f32, 2.0847194f32, 1.9886156f32, 7.782771f32, 1.3239033f32, 3.4442727e-2f32, 0.8015179f32, 3.6298819f32, 4.4572906f32, 3.079818f32, 4.854187f32],
[9.794464f32, 6.176164f32, 3.936749f32, 1.2635068f32, 5.8335123f32, 2.5051656f32, 8.897407f32, 5.9243097f32, 6.729644f32, 3.4901886f32, 8.403716f32, 5.7260017f32, 3.8278263f32, 3.5428064f32, 4.328732f32, 0.8149518f32, 3.1151204f32, 8.7602005f32, 0.1473008f32, 5.648388f32, 7.1988506f32, 4.198165f32, 6.1323137f32, 9.836003f32, 9.116772f32, 5.498824f32, 9.122302f32, 9.595511f32, 5.0357547f32, 1.3232306f32, 2.625781f32, 6.1291804f32],
[5.136067f32, 4.3252544f32, 0.3529015f32, 9.856807f32, 8.614695f32, 8.362345f32, 2.3844347f32, 1.9180195f32, 6.3175445f32, 6.2767105f32, 8.4431305f32, 3.1367996f32, 0.89915943f32, 8.982839f32, 8.469225f32, 6.6864185f32, 7.1523075f32, 4.5538793f32, 8.331569f32, 4.0652637f32, 0.66514605f32, 2.080364f32, 4.4791654e-2f32, 1.6096494f32, 4.200742f32, 5.1727595f32, 3.090999f32, 6.731369f32, 7.506466f32, 3.5321448f32, 9.534828f32, 2.3357224f32],
[7.4398646f32, 4.7931876f32, 3.6693769f32, 4.504273f32, 6.4469557f32, 8.150088f32, 9.495729f32, 0.67217225f32, 6.067339f32, 7.5400777f32, 4.010485f32, 8.327294f32, 7.1918144f32, 6.6823215f32, 8.4825115f32, 9.463159f32, 2.852134f32, 7.0415845f32, 3.5807915f32, 7.3296065f32, 4.647255f32, 9.115227f32, 2.7728174f32, 3.2572987f32, 2.0217583f32, 2.3581169f32, 6.4076514f32, 8.649173f32, 4.086523f32, 0.37892723f32, 0.94535196f32, 8.253423f32],
[1.3221927f32, 2.8784866f32, 7.3618984f32, 9.368237f32, 0.31345308f32, 6.889415f32, 0.2076064f32, 6.0278463f32, 9.212965f32, 7.926195f32, 1.3272231f32, 3.2128959f32, 2.8206787f32, 5.213575f32, 2.6026921e-2f32, 8.989611f32, 5.2113f32, 7.35903f32, 1.9858134f32, 9.838462f32, 8.034722f32, 7.023816f32, 3.008957f32, 3.7141156f32, 7.743243f32, 8.824184f32, 0.8087441f32, 4.6274495f32, 8.395924f32, 8.878931f32, 1.8416194f32, 3.8983662f32],
[6.6880307f32, 2.8709288f32, 9.873519f32, 4.5082307f32, 4.904972f32, 7.5638695f32, 8.925541f32, 9.472933f32, 6.4911556f32, 6.636968f32, 0.33899966f32, 6.401201f32, 3.2624211f32, 0.4937792f32, 7.3967915f32, 8.516304f32, 0.19232082f32, 6.8000927f32, 9.341158f32, 2.3562493f32, 6.0483136f32, 8.060109f32, 2.2761357f32, 0.21244983f32, 4.808677f32, 8.01615f32, 5.3499374f32, 1.117035f32, 4.660446f32, 3.8168254f32, 5.41298f32, 0.2895646f32],
[8.084625f32, 5.954671f32, 3.5423546f32, 2.9269426f32, 6.074548f32, 7.2197065f32, 6.4357347f32, 4.266134f32, 0.424617f32, 4.418403f32, 9.430323f32, 3.7458115f32, 8.104401f32, 8.492826f32, 4.051934f32, 6.166605f32, 6.5001044f32, 9.06385f32, 2.8406343f32, 4.2768455f32, 8.050644f32, 6.7480984f32, 9.743889f32, 7.107699f32, 7.261274f32, 4.296291f32, 6.9166193f32, 3.945183f32, 1.0478647f32, 4.632206f32, 1.3368758f32, 7.3887053f32],
[6.315287f32, 0.3818824f32, 4.5407295f32, 7.688538f32, 7.5850706f32, 3.7226458f32, 9.879589f32, 8.967793f32, 2.6177506f32, 4.6444373f32, 3.351012f32, 1.5904598f32, 2.3382776f32, 3.3178475f32, 3.8433177f32, 9.22182f32, 1.3381734f32, 7.121134f32, 5.0667944f32, 4.1465116f32, 4.9667854f32, 5.1690817f32, 7.707126f32, 6.433079f32, 2.6197426f32, 5.0291786f32, 4.1948833f32, 9.037713f32, 0.2296827f32, 3.0283105f32, 3.2621918f32, 7.9672804f32],
[4.509731f32, 7.5020504f32, 3.4962015f32, 5.6420846f32, 1.449028f32, 3.682651f32, 7.945153f32, 2.0511465f32, 8.296002f32, 9.281939f32, 9.61427f32, 7.3798666f32, 0.14596897f32, 5.170032f32, 4.669707f32, 8.423082f32, 8.517492f32, 1.6319978f32, 6.506407f32, 5.5770464f32, 6.285735f32, 9.399013f32, 0.25642422f32, 7.5865617f32, 0.24046062f32, 8.607012f32, 2.8882678f32, 9.07529f32, 0.90554476f32, 2.5547943f32, 2.1686839e-2f32, 5.5670137f32],
